iata,name,city,state,country,latitude,longitude
3TA5,BLANCO LANDING,BLANCO,TX,USA,30.12246666,-98.37478333
3TA6,SPRING RANCH,BRACKETTVILLE,TX,USA,29.54189555,-100.25313166
3TA7,JIM SEARS,BRIDGEPORT,TX,USA,33.14372833,-97.80447805
3TA9,CHACON CREEK RANCH,CRYSTAL CITY,TX,USA,28.70858916,-100.00728222
3TE,AL MEYERS,TECUMSEH,MI,USA,42.02511083,-83.93929694
3TE0,K RANCH,IOLA,TX,USA,30.73158333,-96.13106805
3TE1,GUM ISLAND,DAYTON,TX,USA,29.95160777,-94.90436916
3TE3,LAZY DOG RANCH AIRPARK,NEVADA,TX,USA,33.07400833,-96.431825
3TE4,HOT SPRINGS,RUIDOSA,TX,USA,30.00877361,-104.66464666
3TE5,STAMPS FLD,PANHANDLE,TX,USA,35.33060388,-101.38516694
3TE8,C FULCHER RANCH,TERLINGUA /ALPINE/,TX,USA,29.31936388,-103.58351833
3TE9,PINOAK,DAYTON,TX,USA,30.10577055,-94.95881583
3TN0,INDIAN SPRINGS,KINGSPORT,TN,USA,36.535,-82.42388888
3TN3,WAYNE'S WORLD,DRESDEN,TN,USA,36.26333333,-88.75722222
3TN6,WILSON FLD,MEMPHIS,TN,USA,35.09255833,-89.28375277
3TN8,SEABROOK,LENOIR CITY,TN,USA,35.7639675,-84.18741472
3TN9,HOLENTHAWALL,SPRINGFIELD,TN,USA,36.61333333,-86.81027777
3TR,JERRY TYLER MEML,NILES,MI,USA,41.83588888,-86.22516666
3TS0,EAST SIDE,LONGVIEW,TX,USA,32.50848138,-94.70020944
3TS1,WHITE WINGS,WIMBERLEY,TX,USA,30.01136944,-98.04050277
3TS3,J-D RANCH,ALVIN,TX,USA,29.37468166,-95.29049083
3TS5,HENSON FARMS,QUITAGUE,TX,USA,34.36166944,-101.08334166
3TS9,OAK GLEN RANCH,COOPER,TX,USA,33.37927611,-95.60356777
3TX,AKROVILLE,SLIDELL,TX,USA,33.39285063,-97.35384722
3TX1,PARADISE POINT,BERRYVILLE,TX,USA,32.09166666,-95.44472222
3TX3,SITTON FLD,JUSTIN,TX,USA,33.11956527,-97.31974055
3TX4,WESTWIND HELICOPTERS,SANTA FE,TX,USA,29.32709722,-95.05933333
3TX7,FLYING P,JUSTIN,TX,USA,33.14083333,-97.37111111
3TX9,RAFTER J,BURLESON,TX,USA,32.52763805,-97.28084777
3U0,MURPHY HOT SPRINGS,THREE CREEK,ID,USA,42.02355555,-115.33544444
3U1,WARREN /USFS/,WARREN,ID,USA,45.26811111,-115.68361111
3U2,JOHNSON CREEK,YELLOW PINE,ID,USA,44.91172222,-115.48552777
3U3,BOWMAN FLD,ANACONDA,MT,USA,46.1534145,-112.86773455
3U4,ST LABRE MISSION,ASHLAND,MT,USA,45.60655555,-106.27425
3U5,AUGUSTA,AUGUSTA,MT,USA,47.46341666,-112.38011111
3U7,BENCHMARK,AUGUSTA,MT,USA,47.48202777,-112.87230555
3U8,BIG SANDY,BIG SANDY,MT,USA,48.16343586,-110.11428386
3U9,BOULDER,BOULDER,MT,USA,46.21166666,-112.10761111
3VA0,AYRES-AICP,WARRENTON,VA,USA,38.77594916,-77.91055027
3VA2,AVIACRES,WARRENTON,VA,USA,38.62428777,-77.78610416
3VA3,FLYING CIRCUS AERODROME,WARRENTON,VA,USA,38.55040138,-77.71582444
3VA4,BILL DAVENPORT MEML,WARSAW,VA,USA,37.85700941,-76.73612597
3VA5,GOOSE HUNT FARM,LEESBURG,VA,USA,39.02888888,-77.625
3VA7,WHITE POST,WHITE POST,VA,USA,39.06260666,-78.0913875
3VA8,GARNER,WINDSOR,VA,USA,36.85626027,-76.68217805
3VG2,MACHIPONGO INTL,MACHIPONGO,VA,USA,37.38833333,-75.8925
3VG3,SERENITY FARM,BURGESS,VA,USA,37.93610833,-76.34860833
3VG5,KINMAN,ALTAVISTA,VA,USA,37.12878469,-79.30323727
3VG9,POTTS LANDING,SOUTH BOSTON,VA,USA,36.70194444,-79.13388888
3VS,ROY OTTEN MEML AIRFIELD,VERSAILLES,MO,USA,38.42827222,-92.87526388
3W2,PUT IN BAY,PUT IN BAY,OH,USA,41.63666666,-82.82833333
3W3,KENTMORR AIRPARK,STEVENSVILLE,MD,USA,38.91811111,-76.35883333
3W5,MEARS FLD,CONCRETE,WA,USA,48.52983833,-121.75824888
3W6,BLADENBORO,BLADENBORO,NC,USA,34.54286111,-78.77816666
3W7,GRAND COULEE DAM,ELECTRIC CITY,WA,USA,47.92205555,-119.083
3W8,EUREKA MUNI,EUREKA,SD,USA,45.79999072,-99.64272
3W9,MIDDLE BASS-EAST POINT,MIDDLE BASS ISLAND,OH,USA,41.69444444,-82.79655555
3WA0,TAYLOR,RAINIER,WA,USA,46.89759916,-122.66956972
3WA2,HANES,HARRINGTON,WA,USA,47.49154277,-118.25108527
3WA3,ANGEL PARK,KAHLOTUS,WA,USA,46.64847444,-118.58304305
3WA4,WATSON,KAHLOTUS,WA,USA,46.71653055,-118.61776805
3WI0,CARNOT FLD,ALGOMA,WI,USA,44.64222166,-87.4198125
3WI2,TESMER,WATERLOO,WI,USA,43.15277416,-88.98455305
3WI3,PLOVER RIVER AIRFIELD,BEVENT,WI,USA,44.76524861,-89.40733972
3WI4,FLYING 'O',WAUSAU,WI,USA,44.92358055,-89.40233944
3WI5,CLOVER VALLEY,WHITEWATER,WI,USA,42.81250972,-88.72649388
3WI6,MELIN FARMS,CLINTON,WI,USA,42.59013888,-88.87455555
3WI8,PLANTATION PINE,REDGRANITE,WI,USA,44.05331222,-89.12178388
3WI9,ROSENBAUM FLD,CHIPPEWA FALLS,WI,USA,44.99996111,-91.38348944
3WN1,DIGGER DOUG,DODGEVILLE,WI,USA,42.87013888,-89.90097222
3WN2,OLD DAIRY,WASHBURN,WI,USA,46.69160466,-90.87074013
3WN6,KNUTSON FARMS,CHETEK,WI,USA,45.23896094,-91.71194763
3WN8,BLUNT FLD,CHIPPEWA FALLS,WI,USA,44.9355968,-91.43068636
3WN9,BRION MEML,STRUM,WI,USA,44.55688333,-91.36693611
3WS9,WOODLAND FARMS,HILLSBORO,WI,USA,43.61145,-90.30719583
3X5,NORTH BASS ISLAND,NORTH BASS ISLAND,OH,USA,41.718,-82.82111111
3XA0,DRENNAN,GRANDVIEW,TX,USA,32.31388888,-97.23111111
3XA1,HARDY FLD,VALLEY VIEW,TX,USA,33.47395,-97.16926666
3XA7,EAGLE ROCK RANCH,PONTOTOC,TX,USA,30.89081666,-99.00618333
3XA8,CHICKEN STRIP,CRESSON,TX,USA,32.51373055,-97.59475833
3XS0,HARTLEE FLD,DENTON,TX,USA,33.26845111,-97.07112138
3XS1,KUBECKA AVIATION,PALACIOS,TX,USA,28.76721111,-96.30691305
3XS4,JENKINS,VIDOR,TX,USA,30.13437722,-93.93600666
3XS5,STAR SMITH FLD,VON ORMY,TX,USA,29.29801472,-98.67668777
3XS8,GIFFIN RANCH,BALMORHEA,TX,USA,31.10020277,-103.96139166
3Y2,GEORGE L SCOTT MUNI,WEST UNION,IA,USA,42.98522222,-91.79063888
3Y3,WINTERSET MUNI,WINTERSET,IA,USA,41.36280555,-94.02119444
3Y4,WOODBINE MUNI,WOODBINE,IA,USA,41.73609944,-95.68361722
3Y7,ISABEL MUNI,ISABEL,SD,USA,45.38971111,-101.43757222
3Z1,FEATHER RIVER,FEATHER RIVER,AK,USA,64.83172722,-166.13152222
40AK,STERLING AIR PARK,STERLING,AK,USA,60.5574185,-150.843492
40AR,LOST BRIDGE VILLAGE,GARFIELD,AR,USA,36.39271666,-93.91261944
40AZ,BOULAIS RANCH,MARICOPA,AZ,USA,33.07893833,-112.12903333
40C,WATERVLIET MUNI,WATERVLIET,MI,USA,42.20072172,-86.24936555
40D,THREE LAKES MUNI,THREE LAKES,WI,USA,45.79001805,-89.12128888
40FL,ADANA AIRFIELD,PUNTA GORDA,FL,USA,26.95258055,-81.87094166
40G,VALLE,GRAND CANYON,AZ,USA,35.65056527,-112.14809194
40I,RED STEWART AIRFIELD,WAYNESVILLE,OH,USA,39.50533777,-84.12187916
40ID,CAMAS CREEK RANCH,FAIRFIELD,ID,USA,43.31422222,-114.90522222
40IL,ANTIQUE AERODROME,CORNELL,IL,USA,41.00583333,-88.65805555
40IN,CHERRY HILL,FREETOWN,IN,USA,39.07421722,-86.15415416
40KS,CHANAY,WILLIAMSBURG,KS,USA,38.5400125,-95.4508125
40KY,ROOSTER FLD,SHELBYVILLE,KY,USA,38.29340305,-85.20495527
40LA,WOODSLAND PLANTATION,MONROE,LA,USA,32.34598111,-91.96957583
40ME,TIB FLD,FRYEBURG,ME,USA,44.10589166,-70.95597777
40MN,TURNER FLD,BINGHAM LAKE,MN,USA,43.86662361,-95.01415611
40MO,DUDES LANDING,PRAIRIE HOME,MO,USA,38.85918611,-92.60136944
40MT,SILVER CREEK,HELENA,MT,USA,46.70555555,-112.06944444
40NE,LANDGREN RANCH,BARTLETT,NE,USA,41.97500694,-98.51591111
40OH,BUCKS,NEWBURY,OH,USA,41.45116361,-81.234825
40OI,M C R,LODI,OH,USA,41.06166666,-81.98361111
40OK,HILLTOP,OILTON,OK,USA,36.11606666,-96.538075
40OR,MEDELLA BISON RANCH,ASHLAND,OR,USA,42.2125765,-122.722839
40PN,EAGLES MERE FLD,EAGLES MERE,PA,USA,41.39115555,-76.61140277
40TA,MILES FLD,JEWETT,TX,USA,31.31295611,-96.22052138
40TE,SYBERT FARM,JARRELL,TX,USA,30.78867222,-97.65569444
40TN,CLOUD 9 AERODROME,BEAN STATION,TN,USA,36.3474715,-83.2673495
40TS,DAWSON PRIVATE STRIP,KINGSVILLE,TX,USA,27.44484444,-97.90594166
40U,MANILA,MANILA,UT,USA,40.98639444,-109.67852694
40WI,SCHUBERT AIRSTRIP,CENTERVILLE,WI,USA,44.05829555,-91.43070222
40XS,HANK SASSER/BREAKAWAY,CEDAR PARK,TX,USA,30.51763472,-97.78081805
41AK,SETTLERS BAY AIRSTRIP,WASILLA,AK,USA,61.5009,-149.6397
41AR,ASHWORTH,ARKADELPHIA,AR,USA,34.12333333,-93.34972222
41AZ,FARMS,MARICOPA,AZ,USA,32.9861625,-112.02569611
41C,CALKINS FLD,WAYLAND,MI,USA,42.69169833,-85.64585527
41CA,SILVER CREEK RANCH,FOREST GLEN,CA,USA,40.31764666,-123.25391361
41CO,FLYING DOG RANCH AIRSTRIP,MEEKER,CO,USA,39.97111111,-107.61111111
41F,FLOYDADA MUNI,FLOYDADA,TX,USA,34.00152777,-101.33025
41G,UNIVERSITY AIRPARK,BATH,MI,USA,42.84099861,-84.47904722
41ID,BLACK'S AIRFIELD,KUNA,ID,USA,43.47138333,-116.32641666
41IG,PARKER FLD,CRAWFORDSVILLE,IN,USA,39.97211111,-86.99880555
41KS,FLYING Z RANCH,SPRING HILL,KS,USA,38.7355,-94.79733333
41ME,EAGLE RIDGE AIRFIELD,JAY,ME,USA,44.51961666,-70.14627777
41MO,SAWYER CREEK,ROGERSVILLE,MO,USA,37.18694444,-93.09416666
41MS,DIXIE DUSTERS,ITTA BENA,MS,USA,33.52333888,-90.36209305
41MT,R & R FLD,HERON,MT,USA,48.08715,-116.04626666
41N,BRACEVILLE,NEWTON FALLS,OH,USA,41.2111675,-80.96925722
41NC,SLOOP,KANNAPOLIS,NC,USA,35.52180555,-80.522
41ND,HILL,MINOT,ND,USA,48.14051111,-101.14736666
41NK,WINCHELL MOUNTAIN,NORTH EAST,NY,USA,41.94777777,-73.51805555
41NR,MONARCH FLD,MOCKSVILLE,NC,USA,35.92711886,-80.57194422
41NY,BONEBENDER,ESSEX,NY,USA,44.31238888,-73.38488888
41OH,HUBER FLD,SIDNEY,OH,USA,40.313975,-84.18104583
41PA,DEITCH,NEW KINGSTOWN,PA,USA,40.25786555,-77.08136722
41TA,CIRCLE P RANCH,GLEN ROSE,TX,USA,32.23731944,-97.87063888
41TN,STONEWALL AIRPARK,MILTON,TN,USA,35.90083333,-86.20722222
41TS,FLYING T RANCH,WESTMINSTER,TX,USA,33.37844472,-96.44831805
41TT,RANCHO PARAISO,MOUNTAIN HOME,TX,USA,30.18145125,-99.40747691
41TX,J RANCH,CHEROKEE,TX,USA,30.97473611,-98.64259722
41U,MANTI-EPHRAIM,MANTI,UT,USA,39.33141666,-111.61261111
41WI,PADDOCK FLD,ELKHORN,WI,USA,42.73862444,-88.57982361
41XS,MACHO GRANDE,TAYLOR,TX,USA,30.53452222,-97.41981388
42A,MELBOURNE MUNI/JOHN E MILLER FLD,MELBOURNE,AR,USA,36.07098027,-91.83013555
42AK,BEAR TOOTH,NUIQSUT,AK,USA,70.11088888,-152.12975
42B,GOODSPEED,EAST HADDAM,CT,USA,41.44565444,-72.4556425
42C,WHITE CLOUD,WHITE CLOUD,MI,USA,43.55984722,-85.77415277
42CN,PEG FLD,REEDLEY,CA,USA,36.70911638,-119.40484694
42I,PARR,ZANESVILLE,OH,USA,40.00729166,-82.01347916
42IA,LAKEPORT FARMS,SALIX,IA,USA,42.26145,-96.28967777
42ID,BLACK BEAR RANCH,GARDEN VALLEY,ID,USA,44.07124555,-115.79118305
42IN,GAERTE,AVILLA,IN,USA,41.3493148,-85.26765419
42J,KEYSTONE HEIGHTS,KEYSTONE HEIGHTS,FL,USA,29.84475,-82.04752777
42KS,FARNEY FLD,KIOWA,KS,USA,37.01069027,-98.45452777
42KY,PIRATES COVE,BENTON,KY,USA,36.77644333,-88.22225472
42M,THAYER MEML,THAYER,MO,USA,36.52228444,-91.57198694
42MD,HERRINGTON FLD,OAKLAND,MD,USA,39.46826666,-79.42528333
42MN,KRAL'S PERSONAL USE LANDING FLD,CORCORAN,MN,USA,45.08413027,-93.56440277
42MO,AIRE PARQUE,FESTUS,MO,USA,38.12310916,-90.38901055
42MT,CROWN RANCH AIRPARK,SEELEY LAKE,MT,USA,47.41471777,-113.6223585
42NC,SPRING PATHS,SPRING HOPE,NC,USA,35.95777777,-78.17055555
42NE,JONES,BENKELMAN,NE,USA,40.05805,-101.54683361
42NY,WALTERS FLD,EAST HOMER,NY,USA,42.669,-76.05616666
42OH,DUNN FLD,NEWTON FALLS,OH,USA,41.15589,-81.00398138
42OR,SHOTGUN RANCH AIRSTRIP,POST,OR,USA,44.13416666,-120.32305555
42SC,CHICKEN COOP,FLORENCE,SC,USA,34.16236111,-79.66616666
42TN,OLIVER LANDING,PARIS,TN,USA,36.41194444,-88.26555555
42TS,HYE SKY FARMS,HYE,TX,USA,30.22184583,-98.59227222
42TT,DUKE INTL,CLEVELAND,TX,USA,30.45559166,-95.23079444
42TX,MAGEE,WOLFE CITY,TX,USA,33.31677777,-96.06691611
42U,MORGAN COUNTY,MORGAN,UT,USA,41.14867555,-111.76714861
42VA,VIRGINIA BEACH,VIRGINIA BEACH,VA,USA,36.67890416,-76.03277638
42VT,FROGS END,SHELBURNE,VT,USA,44.36688611,-73.15016111
42WA,SHEFFELS RANCH,WILBUR,WA,USA,47.81717916,-118.80139833
42XA,SKID ROW AIRPARK,GOLINDA,TX,USA,31.36227638,-97.0903
42XS,TRIPLE B RANCH,FREER,TX,USA,27.95881944,-98.40376388
43A,MONTGOMERY COUNTY,STAR,NC,USA,35.38464972,-79.79026638
43AK,KALMBACH,WASILLA,AK,USA,61.60076111,-149.57916944
43AR,HAIGWOOD LANDING STRIP,NEWPORT,AR,USA,35.61138888,-91.24138888
43AS,GRIFFIN,HELENA,AR,USA,34.44861111,-90.66180555
43B,DEBLOIS FLIGHT STRIP,DEBLOIS,ME,USA,44.726875,-67.99136111
43CN,CORCORAN,CORCORAN,CA,USA,36.10268055,-119.59478888
43CO,BOEING FLD,PAONIA,CO,USA,38.80850833,-107.63521944
43D,ODESSA MUNI,ODESSA,WA,USA,47.34758333,-118.67722222
43G,BELLEVILLE,BELLEVILLE,MI,USA,42.17717916,-83.54502361
43ID,HARRIS RIDGE,KOOSKIA,ID,USA,46.18418788,-115.86805577
43IG,GRAYLAND INTERGALACTIC,GRAYLAND,WA,USA,46.80152777,-124.07294444
43IN,HEPLER,ST WENDEL,IN,USA,38.13754361,-87.67641166
43K,MARION MUNI,MARION,KS,USA,38.33761111,-96.98825
43KS,SMITH,MANHATTAN,KS,USA,39.1019425,-96.41777666
43MI,WEST GLADSTONE,GLADSTONE,MI,USA,45.86071527,-87.11776805
43MN,SUPERIOR AERO ESTATES,SAGINAW,MN,USA,46.93403055,-92.412775
43MO,BLUE CEDAR LANDING,PLEASANT HILL,MO,USA,38.78334305,-94.37009027
43MT,GOVERNMENT MOUNTAIN,NOXON,MT,USA,47.99174455,-115.75187069
43NE,ONION CREST AIRPARK,RIVERDALE,NE,USA,40.775,-99.15472222
43NV,TOPAZ RANCH,WELLINGTON,NV,USA,38.72937241,-119.46582744
